id,start,end,total_revenue,total_units,total_sessions,conversion_rate,refund_rate,created_at
2,2025-10-12,2025-10-18,30690.95,982,4517,0.2174,0.0102,2025-10-18T08:38:59
1,2025-10-12,2025-10-18,30690.95,982,4517,0.2174,0.0102,2025-10-18T08:38:57
